station_id,start_date,end_date,prop_missing_data,q_uncert_num_curves,q_uncert_n,q_uncert_q10,q_uncert_q10_upper,q_uncert_q10_lower,q_uncert_q50,q_uncert_q50_upper,q_uncert_q50_lower,q_uncert_q90,q_uncert_q90_upper,q_uncert_q90_lower
912101A,19691213,20141231,0.0068064418109997,3,15226,0.015121926,25.07%,-21.06%,0.027200472,20.06%,-17.82%,0.12167039,18.46%,-15.13%
912105A,19680503,20141231,0.090178361886881,1,15232,0.016571549,196.84%,-93.24%,0.031968682,129.72%,-77.38%,0.16138402,49.79%,-40.02%
915011A,19710923,20141231,0.0417562950778185,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
917107A,19680724,20141231,0.0165074873246079,2,15772,0.001552001,143.47%,-66.93%,0.03607746,51.70%,-37.00%,0.371123936,26.85%,-22.30%
919003A,19671002,20141231,0.0497160737049484,1,14933,0.004730991,21.65%,-18.16%,0.053229432,15.45%,-13.59%,1.273285306,n/a,n/a
919201A,19671213,20141231,0.0757593389968579,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
919309A,19670911,20141231,0.0918455929162567,1,13381,2.29519E-05,201399.85%,-100%,0.020639758,380.58%,n/a,1.454854212,19.91%,-18.49%
922101B,19671002,20141231,0.056321705875536,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
925001A,19580420,20141231,0.0572670207629165,1,18556,0.023729899,18.15%,-15.85%,0.10156567,13.15%,-11.90%,3.614442325,6.09%,-5.81%
926002A,19701120,20141231,0.0494631663873891,2,14283,0.242640884,31.48%,-27.03%,0.764055118,17.78%,-16.24%,4.861629316,8.00%,-7.63%
G9030124,19770117,20140203,0.0320721253325451,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G9030250,19660813,20141231,0.144287896791716,1,14186,0.001404531,26.74%,-19.78%,0.007773792,19.85%,-15.74%,0.405772916,10.33%,-9.09%
G9070142,19651105,20141231,0.0739111061601871,2,15361,0,n/a,n/a,0.011527929,218.55%,-82.92%,0.22055236,64.75%,-42.87%
A0020101,19661019,20141231,0.0153356810178348,1,16210,0,n/a,n/a,0.000186063,n/a,n/a,0.037388608,12.23%,-11.13%
A0030501,19730224,20141231,0,1,9853,3.00786E-05,n/a,n/a,0.003154525,10.66%,-8.06%,0.037685431,4.03%,-3.60%
G0010005,19650810,20110303,0.0429034971758202,1,4441,0,n/a,n/a,0.002355367,6599.23%,-100%,0.525399479,100.19%,-67.63%
G0050115,19720520,20141231,6.42425799820121e-05,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G0060005,19730224,20141210,0.018146085817229,1,1132,0.021412776,n/a,n/a,0.241468027,202.31%,-100%,0.670995187,92.11%,-69.86%
401009,19510101,20141231,0.00761464750171116,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
401012,19680301,20141231,0.0148477231542643,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
401015,19731218,20141231,0.0103409166722263,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
401203,19540605,20141231,0,5,22057,0.126582873,13.74%,-12.09%,0.475069718,8.42%,-7.66%,1.802703236,5.78%,-5.36%
401208,19651030,20141231,5.56792873051225e-05,6,16683,0.109489613,14.73%,-12.61%,0.364702414,14.27%,-12.64%,1.335322291,10.43%,-9.46%
401210,19530326,20141231,8.86485528123753e-05,3,21424,0.258169048,8.97%,-8.30%,0.723906515,7.87%,-7.34%,2.94260838,6.82%,-6.42%
401212,19540414,20141231,4.5091761735131e-05,7,20958,0.279940715,12.42%,-11.17%,0.797801335,10.18%,-9.33%,3.418786023,8.59%,-7.97%
401216,19510101,20141231,4.27789185489391e-05,4,22222,0.302150237,12.65%,-11.28%,1.068707065,11.16%,-10.05%,4.051493996,9.95%,-9.03%
401217,19710728,20141231,0,4,14715,0.103289054,13.65%,-11.81%,0.399534943,9.96%,-8.98%,1.930551387,7.17%,-6.63%
402204,19670605,20141231,0.000805662657535823,6,16149,0.034581212,41.34%,-31.30%,0.192438503,24.33%,-20.36%,1.113001783,16.08%,-14.28%
402206,19750725,20141231,0.00333217632766401,7,13242,0.065934301,19.79%,-17.15%,0.264525118,15.60%,-13.63%,1.637266876,10.25%,-9.41%
402213,19700501,20141231,0.00337092424613876,9,14440,0.024426542,42.99%,-31.29%,0.14716542,22.63%,-19.05%,1.212902743,13.43%,-11.93%
402217,19700429,20101108,0,5,14161,0.032166667,33.84%,-27.42%,0.176058222,25.08%,-21.24%,1.237271111,13.26%,-12.05%
403209A,19510101,20141231,0.0271646132785763,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
403213A,19581217,20141231,0.00747471786604133,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
403214,19610630,20141231,0.000972215115386583,9,18396,0.022529288,39.41%,-29.89%,0.156252907,20.45%,-17.63%,1.207797965,11.98%,-10.92%
403217,19680502,20141231,0.00551481372836609,1,14480,0.008998875,50.56%,-38.35%,0.24521991,13.21%,-12.20%,2.81504387,5.36%,-5.19%
403221,19641113,20141231,0.00196603134727759,6,16923,0.008983404,75.49%,-51.75%,0.101652009,24.01%,-21.55%,1.053344681,8.91%,-8.34%
403222,19650702,20141231,0.00138274336283186,7,15927,0.044087801,38.28%,-29.05%,0.377162488,17.81%,-15.22%,2.797338476,10.15%,-9.09%
